ISIN;Nom;Type;Score_global;Couverture_pct;Criteres_notes;Rang;Date_MAJ
FR0000066755;HAULOTTE GROUP;Action;41.0;60.0;drawdown|performance|sharpe|sortino|volatilite;236;2026-08-30
FR0010397232;NOVACYT;Action;41.0;60.0;drawdown|performance|sharpe|sortino|volatilite;237;2026-08-30
CY0201461213;PELICAN AQUA HLDNG;Action;40.9;60.0;drawdown|performance|sharpe|sortino|volatilite;238;2026-08-30
FR0010404368;D.L.S.I.;Action;40.9;60.0;drawdown|performance|sharpe|sortino|volatilite;239;2026-08-30
FR0010157115;EUROLAND CORPORATE;Action;40.7;60.0;drawdown|performance|sharpe|sortino|volatilite;240;2026-08-30
FR0000053035;GEA GRENOBL.ELECT.;Action;40.4;60.0;drawdown|performance|sharpe|sortino|volatilite;241;2026-08-30
FR0000060071;SAMSE;Action;40.0;60.0;drawdown|performance|sharpe|sortino|volatilite;242;2026-08-30
FR0004172450;MINT;Action;39.8;60.0;drawdown|performance|sharpe|sortino|volatilite;243;2026-08-30
FR0000050395;CROSSWOOD;Action;39.7;60.0;drawdown|performance|sharpe|sortino|volatilite;244;2026-08-30
BE0974298300;CANDELA INVEST;Action;39.6;60.0;drawdown|performance|sharpe|sortino|volatilite;245;2026-08-30
BE0003893139;IMMO MOURY;Action;39.1;60.0;drawdown|performance|sharpe|sortino|volatilite;246;2026-08-30
FR0005854700;I2S;Action;38.7;60.0;drawdown|performance|sharpe|sortino|volatilite;247;2026-08-30
FR0000036675;GROUPE CRIT;Action;38.3;60.0;drawdown|performance|sharpe|sortino|volatilite;248;2026-08-30
FR0000054199;ST DUPONT;Action;38.3;60.0;drawdown|performance|sharpe|sortino|volatilite;249;2026-08-30
FR0004030708;ENCRES DUBUIT;Action;38.0;60.0;drawdown|performance|sharpe|sortino|volatilite;250;2026-08-30
FR0000065930;FONCIERE 7 INVEST;Action;37.8;60.0;drawdown|performance|sharpe|sortino|volatilite;251;2026-08-30
FR0000065971;GRAINES VOLTZ;Action;37.7;60.0;drawdown|performance|sharpe|sortino|volatilite;252;2026-08-30
ES0105744009;ANDINO GLOBAL;Action;36.9;60.0;drawdown|performance|sharpe|sortino|volatilite;253;2026-08-30
FR0004155000;GROUPE SFPI;Action;36.9;60.0;drawdown|performance|sharpe|sortino|volatilite;254;2026-08-30
FR0000124414;GASCOGNE;Action;36.8;60.0;drawdown|performance|sharpe|sortino|volatilite;255;2026-08-30
FR0010204453;MG INTERNATIONAL;Action;36.8;60.0;drawdown|performance|sharpe|sortino|volatilite;256;2026-08-30
FR0000185506;CRCAM ATL.VEND.CCI;Action;36.7;60.0;drawdown|performance|sharpe|sortino|volatilite;257;2026-08-30
FR0010641449;AGROGENERATION;Action;36.1;60.0;drawdown|performance|sharpe|sortino|volatilite;258;2026-08-30
FR0000035370;BASTIDE LE CONFORT;Action;36.0;60.0;drawdown|performance|sharpe|sortino|volatilite;259;2026-08-30
FR0004154060;NETGEM;Action;35.8;60.0;drawdown|performance|sharpe|sortino|volatilite;260;2026-08-30
FR0000032658;SYNERGIE;Action;35.7;60.0;drawdown|performance|sharpe|sortino|volatilite;261;2026-08-30
FR0000079147;U10 CORP;Action;35.3;60.0;drawdown|performance|sharpe|sortino|volatilite;262;2026-08-30
FR0010655712;AMUETFDAXETFP;ETF;34.7;60.0;drawdown|performance|sharpe|sortino|volatilite;263;2026-08-30
FR0000130395;REMY COINTREAU;Action;34.5;60.0;drawdown|performance|sharpe|sortino|volatilite;264;2026-08-30
FR0000044943;LOGIC INSTRUMENT;Action;34.4;60.0;drawdown|performance|sharpe|sortino|volatilite;265;2026-08-30
FR0000130403;CHRISTIAN DIOR;Action;34.3;60.0;drawdown|performance|sharpe|sortino|volatilite;266;2026-08-30
BE0160342011;COIL;Action;34.2;60.0;drawdown|performance|sharpe|sortino|volatilite;267;2026-08-30
FR0000053837;ALTAMIR;Action;34.2;60.0;drawdown|performance|sharpe|sortino|volatilite;268;2026-08-30
FR0004155208;LOCASYSTEM INTL;Action;34.1;60.0;drawdown|performance|sharpe|sortino|volatilite;269;2026-08-30
FR0000074783;ARTMARKET COM;Action;34.0;60.0;drawdown|performance|sharpe|sortino|volatilite;270;2026-08-30
FR0000062978;DEKUPLE;Action;33.6;60.0;drawdown|performance|sharpe|sortino|volatilite;271;2026-08-30
FR0010592014;AMUNDI ETF LEV CAC;ETF;33.3;60.0;drawdown|performance|sharpe|sortino|volatilite;272;2026-08-30
FR0010485268;FOUNTAINE PAJOT;Action;33.2;60.0;drawdown|performance|sharpe|sortino|volatilite;273;2026-08-30
BE0974313455;ECONOCOM GROUP;Action;33.1;60.0;drawdown|performance|sharpe|sortino|volatilite;274;2026-08-30
FR0010150458;BNPP CAC 40 ESG;ETF;32.6;70.0;drawdown|esg|performance|sharpe|sortino|volatilite;275;2026-08-30
FR0000120560;QUADIENT;Action;32.3;60.0;drawdown|performance|sharpe|sortino|volatilite;276;2026-08-30
FR0000079691;IDS;Action;32.0;60.0;drawdown|performance|sharpe|sortino|volatilite;277;2026-08-30
DE0005933931;BLAETFDAXETFP;ETF;31.9;60.0;drawdown|performance|sharpe|sortino|volatilite;278;2026-08-30
FR0000061780;AUGROS COSMETIC;Action;31.7;60.0;drawdown|performance|sharpe|sortino|volatilite;279;2026-08-30
FR0000039109;SECHE ENVIRONNEM.;Action;31.6;60.0;drawdown|performance|sharpe|sortino|volatilite;280;2026-08-30
FR0000053944;FONCIERE VOLTA;Action;31.6;60.0;drawdown|performance|sharpe|sortino|volatilite;281;2026-08-30
FR0010929125;ID LOGISTICS GROUP;Action;31.4;60.0;drawdown|performance|sharpe|sortino|volatilite;282;2026-08-30
FR0000033003;TOUAX;Action;31.1;60.0;drawdown|performance|sharpe|sortino|volatilite;283;2026-08-30
DE000A2G8ZX8;PYRUM INNOVATIONS;Action;31.0;60.0;drawdown|performance|sharpe|sortino|volatilite;284;2026-08-30
FR0004053510;GENOWAY;Action;30.3;60.0;drawdown|performance|sharpe|sortino|volatilite;285;2026-08-30
FR0005843125;HYDRO-EXPLOIT.;Action;30.1;60.0;drawdown|performance|sharpe|sortino|volatilite;286;2026-08-30
CZ0009008942;COLT;Action;30.0;60.0;drawdown|performance|sharpe|sortino|volatilite;287;2026-08-30
CY0201332216;PELAGIC CREDIT;Action;29.7;60.0;drawdown|performance|sharpe|sortino|volatilite;288;2026-08-30
FR0000053027;AKWEL;Action;29.6;60.0;drawdown|performance|sharpe|sortino|volatilite;289;2026-08-30
ES0105463006;MAKING SCIENCE;Action;29.4;60.0;drawdown|performance|sharpe|sortino|volatilite;290;2026-08-30
FR0004023208;BASSAC;Action;29.1;60.0;drawdown|performance|sharpe|sortino|volatilite;291;2026-08-30
FR0000064784;PEUGEOT INVEST;Action;29.0;60.0;drawdown|performance|sharpe|sortino|volatilite;292;2026-08-30
FR0000061244;ALTHEORA;Action;28.9;60.0;drawdown|performance|sharpe|sortino|volatilite;293;2026-08-30
FR0000061475;EURASIA FONC INV;Action;28.6;60.0;drawdown|performance|sharpe|sortino|volatilite;294;2026-08-30
FR0000065773;IMPRIMERIE CHIRAT;Action;28.4;60.0;drawdown|performance|sharpe|sortino|volatilite;295;2026-08-30
BE0974310428;X-FAB;Action;28.3;60.0;drawdown|performance|sharpe|sortino|volatilite;296;2026-08-30
ES0105425005;KOMPUESTOS;Action;28.1;60.0;drawdown|performance|sharpe|sortino|volatilite;297;2026-08-30
FR0004027068;LANSON-BCC;Action;28.0;60.0;drawdown|performance|sharpe|sortino|volatilite;298;2026-08-30
FR0000066722;GUILLEMOT;Action;27.9;60.0;drawdown|performance|sharpe|sortino|volatilite;299;2026-08-30
ES0109429037;ISPD;Action;27.6;60.0;drawdown|performance|sharpe|sortino|volatilite;300;2026-08-30
BE0974269012;ADC SIIC;Action;27.4;60.0;drawdown|performance|sharpe|sortino|volatilite;301;2026-08-30
FR0000074775;STRADIM ESPAC.FIN;Action;27.2;60.0;drawdown|performance|sharpe|sortino|volatilite;302;2026-08-30
FR0000185464;NOVATECH IND.;Action;26.9;60.0;drawdown|performance|sharpe|sortino|volatilite;303;2026-08-30
FR0010202606;SIDETRADE;Action;26.1;60.0;drawdown|performance|sharpe|sortino|volatilite;304;2026-08-30
FR0010609206;OREGE;Action;25.2;60.0;drawdown|performance|sharpe|sortino|volatilite;305;2026-08-30
FR0004156297;LINEDATA SERVICES;Action;24.8;60.0;drawdown|performance|sharpe|sortino|volatilite;306;2026-08-30
FR0000076861;ACTEOS;Action;24.4;60.0;drawdown|performance|sharpe|sortino|volatilite;307;2026-08-30
FR0000035164;BENETEAU;Action;24.2;60.0;drawdown|performance|sharpe|sortino|volatilite;308;2026-08-30
FR0010889386;QWAMPLIFY;Action;23.5;60.0;drawdown|performance|sharpe|sortino|volatilite;309;2026-08-30
ES0105704003;VIRTUALWARE;Action;22.7;60.0;drawdown|performance|sharpe|sortino|volatilite;310;2026-08-30
FR0007200100;EAUX DE ROYAN;Action;22.5;60.0;drawdown|performance|sharpe|sortino|volatilite;311;2026-08-30
FR0010120402;THERACLION;Action;22.2;60.0;drawdown|performance|sharpe|sortino|volatilite;312;2026-08-30
FR0000064602;ACANTHE DEV.;Action;21.6;60.0;drawdown|performance|sharpe|sortino|volatilite;313;2026-08-30
BE0948608451;PHOTONIKE CAPITAL;Action;21.1;60.0;drawdown|performance|sharpe|sortino|volatilite;314;2026-08-30
FR0000037640;ROUGIER S.A.;Action;21.1;60.0;drawdown|performance|sharpe|sortino|volatilite;315;2026-08-30
FR0011005933;BIOSYNEX;Action;20.9;60.0;drawdown|performance|sharpe|sortino|volatilite;316;2026-08-30
FR0000072597;IT LINK;Action;20.7;60.0;drawdown|performance|sharpe|sortino|volatilite;317;2026-08-30
FR0010312181;HOPENING;Action;20.7;60.0;drawdown|performance|sharpe|sortino|volatilite;318;2026-08-30
FR0010221234;EUTELSAT COMMUNIC.;Action;20.6;60.0;drawdown|performance|sharpe|sortino|volatilite;319;2026-08-30
BE0974294267;NYRSTAR;Action;20.4;60.0;drawdown|performance|sharpe|sortino|volatilite;320;2026-08-30
FR0010591362;AMUNDI ETF SHT CAC;ETF;20.4;60.0;drawdown|performance|sharpe|sortino|volatilite;321;2026-08-30
FR0004044600;PRISMAFLEX INTL;Action;20.0;60.0;drawdown|performance|sharpe|sortino|volatilite;322;2026-08-30
FR0010309096;VITURA;Action;20.0;60.0;drawdown|performance|sharpe|sortino|volatilite;323;2026-08-30
FR0010353888;MGI DIGITAL GRAPHI;Action;19.8;60.0;drawdown|performance|sharpe|sortino|volatilite;324;2026-08-30
FR0000064297;INNELEC MULTIMEDIA;Action;19.7;60.0;drawdown|performance|sharpe|sortino|volatilite;325;2026-08-30
FR0000037475;CFI;Action;19.5;60.0;drawdown|performance|sharpe|sortino|volatilite;326;2026-08-30
FR0010655704;AMUNDI ETF CAC FRA;ETF;19.4;60.0;drawdown|performance|sharpe|sortino|volatilite;327;2026-08-30
FR0010326090;VIALIFE;Action;18.7;60.0;drawdown|performance|sharpe|sortino|volatilite;328;2026-08-30
ES0105089009;LLEIDA;Action;18.3;60.0;drawdown|performance|sharpe|sortino|volatilite;329;2026-08-30
FR0000066441;POUJOULAT;Action;18.3;60.0;drawdown|performance|sharpe|sortino|volatilite;330;2026-08-30
FR0010263202;PAREF;Action;17.5;60.0;drawdown|performance|sharpe|sortino|volatilite;331;2026-08-30
FR0010490920;EUROPACORP;Action;17.4;60.0;drawdown|performance|sharpe|sortino|volatilite;332;2026-08-30
FR0000054322;CIBOX INTER A CTIV;Action;17.3;60.0;drawdown|performance|sharpe|sortino|volatilite;333;2026-08-30
FR0004171346;NEXTEDIA;Action;17.2;60.0;drawdown|performance|sharpe|sortino|volatilite;334;2026-08-30
FR0000035719;ELECT. MADAGASCAR;Action;16.9;60.0;drawdown|performance|sharpe|sortino|volatilite;335;2026-08-30
ES0105029005;FACEPHI;Action;16.6;60.0;drawdown|performance|sharpe|sortino|volatilite;336;2026-08-30
FR0004174233;BILENDI;Action;16.6;60.0;drawdown|performance|sharpe|sortino|volatilite;337;2026-08-30
BE0974363955;HYLORIS;Action;16.4;60.0;drawdown|performance|sharpe|sortino|volatilite;338;2026-08-30
FR0010908723;INTEGRAGEN;Action;16.1;60.0;drawdown|performance|sharpe|sortino|volatilite;339;2026-08-30
FR0005175080;TRANSGENE;Action;15.8;60.0;drawdown|performance|sharpe|sortino|volatilite;340;2026-08-30
FR0010776617;SAPMER;Action;15.4;60.0;drawdown|performance|sharpe|sortino|volatilite;341;2026-08-30
BE0974268972;BPOST;Action;15.3;60.0;drawdown|performance|sharpe|sortino|volatilite;342;2026-08-30
FR0004527638;EXEL INDUSTRIES;Action;15.0;60.0;drawdown|performance|sharpe|sortino|volatilite;343;2026-08-30
FR0000185423;DAMARTEX;Action;14.2;60.0;drawdown|performance|sharpe|sortino|volatilite;344;2026-08-30
FR0010193052;CATANA GROUP;Action;13.5;60.0;drawdown|performance|sharpe|sortino|volatilite;345;2026-08-30
BE0974340722;SEQUANA MEDICAL;Action;13.4;60.0;drawdown|performance|sharpe|sortino|volatilite;346;2026-08-30
BE0974380124;EKOPAK;Action;12.5;60.0;drawdown|performance|sharpe|sortino|volatilite;347;2026-08-30
FR0004034320;MR BRICOLAGE;Action;12.5;60.0;drawdown|performance|sharpe|sortino|volatilite;348;2026-08-30
BE0974496284;OPTION;Action;12.4;60.0;drawdown|performance|sharpe|sortino|volatilite;349;2026-08-30
FR0004155687;MASTRAD;Action;11.9;60.0;drawdown|performance|sharpe|sortino|volatilite;350;2026-08-30
FR0010785790;PLANT ADVANCED;Action;11.3;60.0;drawdown|performance|sharpe|sortino|volatilite;351;2026-08-30
FR0000035784;EVERGREEN;Action;10.9;60.0;drawdown|performance|sharpe|sortino|volatilite;352;2026-08-30
BE0974386188;BIOTALYS;Action;10.7;60.0;drawdown|performance|sharpe|sortino|volatilite;353;2026-08-30
FR0010557264;AB SCIENCE;Action;10.6;60.0;drawdown|performance|sharpe|sortino|volatilite;354;2026-08-30
FR0000054371;SPEED RABBIT PIZZA;Action;10.2;60.0;drawdown|performance|sharpe|sortino|volatilite;355;2026-08-30
BE0974371032;BANQUP GROUP;Action;10.1;60.0;drawdown|performance|sharpe|sortino|volatilite;356;2026-08-30
BE0974314461;BELYSSE GROUP;Action;9.9;60.0;drawdown|performance|sharpe|sortino|volatilite;357;2026-08-30
DE000A11Q133;HK;Action;9.4;60.0;drawdown|performance|sharpe|sortino|volatilite;358;2026-08-30
BE0974276082;ONTEX GROUP;Action;9.1;60.0;drawdown|performance|sharpe|sortino|volatilite;359;2026-08-30
FR0000032526;GUERBET;Action;8.8;60.0;drawdown|performance|sharpe|sortino|volatilite;360;2026-08-30
FR0011041011;BLUELINEA;Action;8.2;60.0;drawdown|performance|sharpe|sortino|volatilite;361;2026-08-30
BE6333353298;BONYF;Action;7.6;60.0;drawdown|performance|sharpe|sortino|volatilite;362;2026-08-30
FR0010169920;PREDILIFE;Action;7.4;60.0;drawdown|performance|sharpe|sortino|volatilite;363;2026-08-30
FR0000062465;ALAN ALLMAN;Action;7.2;60.0;drawdown|performance|sharpe|sortino|volatilite;364;2026-08-30
BE0974358906;NYXOAH;Action;5.9;60.0;drawdown|performance|sharpe|sortino|volatilite;365;2026-08-30
FR0010869495;AMUNDI ETF DAX DS2;ETF;5.6;60.0;drawdown|performance|sharpe|sortino|volatilite;366;2026-08-30
BE0974502347;FLORIDIENNE;Action;5.1;60.0;drawdown|performance|sharpe|sortino|volatilite;367;2026-08-30
FR0000074072;BIGBEN INTERACTIVE;Action;4.6;60.0;drawdown|performance|sharpe|sortino|volatilite;368;2026-08-30
FR0010424697;ETHERO;Action;3.9;60.0;drawdown|performance|sharpe|sortino|volatilite;369;2026-08-30
BE0974487192;OXURION;Action;3.6;60.0;drawdown|performance|sharpe|sortino|volatilite;370;2026-08-30
FR0010411884;AMUNDI ETF BX4;ETF;1.9;60.0;drawdown|performance|sharpe|sortino|volatilite;371;2026-08-30
